source.bytes,source.packets,destination.bytes,destination.packets,network.packets,event.duration,network.transport_tcp,network.transport_udp
4.080000035118988e-06,0.0003485372847101873,1.2762667143139573e-05,0.000182978264012018,0.0003503486174140282,0.7655343038085581,1.0,0.0
8.155949437291718e-06,0.0006979524970896698,2.556266762100626e-05,0.00036687141934409613,0.0007018709320388237,0.7655343038085581,1.0,0.0
4.080000035118988e-06,0.0003485372847101873,1.2629333804828461e-05,0.00018114848137189784,0.0003491749202032609,0.7655343038085581,1.0,0.0
8.155949437291718e-06,0.0006979524970896698,2.536266761353959e-05,0.00036321185406385577,0.0006995235376172891,0.7655343038085581,1.0,0.0
4.080000035118988e-06,0.0003485372847101873,1.2629333804828461e-05,0.00018114848137189784,0.0003491749202032609,0.7655343038085581,1.0,0.0
8.155949437291718e-06,0.0006979524970896698,2.536266761353959e-05,0.00036321185406385577,0.0006995235376172891,0.7655343166960591,1.0,0.0
4.080000035118988e-06,0.0003485372847101873,1.2629333804828461e-05,0.00018114848137189784,0.0003491749202032609,0.7655343166960591,1.0,0.0
8.155949437291718e-06,0.0006979524970896698,2.536266761353959e-05,0.00036321185406385577,0.0006995235376172891,0.7655343166960591,1.0,0.0
4.080000035118988e-06,0.0003485372847101873,1.2762667143139573e-05,0.000182978264012018,0.0003503486174140282,0.7655343166960591,1.0,0.0
8.155949437291718e-06,0.0006979524970896698,2.556266762100626e-05,0.00036687141934409613,0.0007018709320388237,0.7655343166960591,1.0,0.0
4.080000035118988e-06,0.0003485372847101873,1.2629333804828461e-05,0.00018114848137189784,0.0003491749202032609,0.7655343038085581,1.0,0.0
8.155949437291718e-06,0.0006979524970896698,2.536266761353959e-05,0.00036321185406385577,0.0006995235376172891,0.7655343038085581,1.0,0.0
4.080000035118988e-06,0.0003485372847101873,1.2629333804828461e-05,0.00018114848137189784,0.0003491749202032609,0.765534278033556,1.0,0.0
8.155949437291718e-06,0.0006979524970896698,2.536266761353959e-05,0.00036321185406385577,0.0006995235376172891,0.765534278033556,1.0,0.0
4.080000035118988e-06,0.0003485372847101873,1.2629333804828461e-05,0.00018114848137189784,0.0003491749202032609,0.7655343038085581,1.0,0.0
8.155949437291718e-06,0.0006979524970896698,2.536266761353959e-05,0.00036321185406385577,0.0006995235376172891,0.7655343038085581,1.0,0.0
4.080000035118988e-06,0.0003485372847101873,1.2762667143139573e-05,0.000182978264012018,0.0003503486174140282,0.765534290921057,1.0,0.0
8.155949437291718e-06,0.0006979524970896698,2.556266762100626e-05,0.00036687141934409613,0.0007018709320388237,0.765534290921057,1.0,0.0
1.559493684309566e-07,6.145493685066275e-06,1.829333401628447e-06,7.31913056048072e-06,8.802729080754477e-06,7.732500635804864e-08,1.0,0.0
1.559493684309566e-07,6.145493685066275e-06,1.829333401628447e-06,7.31913056048072e-06,8.802729080754477e-06,1.1598750953707296e-07,1.0,0.0
1.559493684309566e-07,6.145493685066275e-06,1.8960000707840027e-06,8.23402188054081e-06,9.389577686138108e-06,1.2887501059674774e-07,1.0,0.0
1.559493684309566e-07,6.145493685066275e-06,1.829333401628447e-06,7.31913056048072e-06,8.802729080754477e-06,1.1598750953707296e-07,1.0,0.0
1.559493684309566e-07,6.145493685066275e-06,1.829333401628447e-06,6.40423924042063e-06,8.215880475370845e-06,1.0310000847739819e-07,1.0,0.0
1.4329114047389846e-07,7.901349023656638e-06,1.829333401628447e-06,7.31913056048072e-06,9.976426291521741e-06,3.866250317902432e-08,1.0,0.0
1.559493684309566e-07,6.145493685066275e-06,1.829333401628447e-06,7.31913056048072e-06,8.802729080754477e-06,1.0310000847739819e-07,1.0,0.0
1.559493684309566e-07,6.145493685066275e-06,1.829333401628447e-06,7.31913056048072e-06,8.802729080754477e-06,7.732500635804864e-08,1.0,0.0
1.559493684309566e-07,6.145493685066275e-06,1.8960000707840027e-06,8.23402188054081e-06,9.389577686138108e-06,7.732500635804864e-08,1.0,0.0
1.559493684309566e-07,6.145493685066275e-06,1.829333401628447e-06,7.31913056048072e-06,8.802729080754477e-06,1.1598750953707296e-07,1.0,0.0
1.559493684309566e-07,6.145493685066275e-06,1.829333401628447e-06,7.31913056048072e-06,8.802729080754477e-06,6.70278930113685e-05,1.0,0.0
1.559493684309566e-07,7.023421354361457e-06,1.829333401628447e-06,7.31913056048072e-06,9.389577686138108e-06,6.705366801348784e-05,1.0,0.0
1.559493684309566e-07,6.145493685066275e-06,1.8960000707840027e-06,8.23402188054081e-06,9.389577686138108e-06,1.2887501059674774e-07,1.0,0.0
1.559493684309566e-07,6.145493685066275e-06,1.829333401628447e-06,7.31913056048072e-06,8.802729080754477e-06,1.0310000847739819e-07,1.0,0.0
1.559493684309566e-07,6.145493685066275e-06,1.8960000707840027e-06,8.23402188054081e-06,9.389577686138108e-06,7.732500635804864e-08,1.0,0.0
1.559493684309566e-07,6.145493685066275e-06,1.8960000707840027e-06,8.23402188054081e-06,9.389577686138108e-06,7.732500635804864e-08,1.0,0.0
1.559493684309566e-07,7.023421354361457e-06,1.829333401628447e-06,7.31913056048072e-06,9.389577686138108e-06,6.443750529837387e-08,1.0,0.0
1.559493684309566e-07,6.145493685066275e-06,1.829333401628447e-06,6.40423924042063e-06,8.215880475370845e-06,6.443750529837387e-08,1.0,0.0
1.4329114047389846e-07,7.901349023656638e-06,1.829333401628447e-06,7.31913056048072e-06,9.976426291521741e-06,1.2887501059674774e-08,1.0,0.0
1.559493684309566e-07,6.145493685066275e-06,1.829333401628447e-06,7.31913056048072e-06,8.802729080754477e-06,1.1598750953707296e-07,1.0,0.0
1.559493684309566e-07,6.145493685066275e-06,1.8960000707840027e-06,8.23402188054081e-06,9.389577686138108e-06,1.1598750953707296e-07,1.0,0.0
1.559493684309566e-07,6.145493685066275e-06,1.829333401628447e-06,7.31913056048072e-06,8.802729080754477e-06,1.6753751377577207e-07,1.0,0.0
1.559493684309566e-07,6.145493685066275e-06,1.829333401628447e-06,7.31913056048072e-06,8.802729080754477e-06,1.5465001271609729e-07,1.0,0.0
1.4329114047389846e-07,5.267566015771093e-06,1.829333401628447e-06,7.31913056048072e-06,8.215880475370845e-06,5.1550004238699095e-08,1.0,0.0
1.559493684309566e-07,6.145493685066275e-06,1.829333401628447e-06,7.31913056048072e-06,8.802729080754477e-06,6.443750529837387e-08,1.0,0.0
1.559493684309566e-07,6.145493685066275e-06,1.8960000707840027e-06,8.23402188054081e-06,9.389577686138108e-06,6.443750529837387e-08,1.0,0.0
1.559493684309566e-07,6.145493685066275e-06,1.8960000707840027e-06,8.23402188054081e-06,9.389577686138108e-06,6.443750529837387e-08,1.0,0.0
1.559493684309566e-07,6.145493685066275e-06,1.8960000707840027e-06,8.23402188054081e-06,9.389577686138108e-06,1.1598750953707296e-07,1.0,0.0
1.559493684309566e-07,6.145493685066275e-06,1.829333401628447e-06,7.31913056048072e-06,8.802729080754477e-06,1.0310000847739819e-07,1.0,0.0
1.559493684309566e-07,6.145493685066275e-06,1.829333401628447e-06,7.31913056048072e-06,8.802729080754477e-06,1.2887501059674774e-07,1.0,0.0
1.559493684309566e-07,6.145493685066275e-06,1.829333401628447e-06,7.31913056048072e-06,8.802729080754477e-06,1.1598750953707296e-07,1.0,0.0
1.559493684309566e-07,6.145493685066275e-06,1.829333401628447e-06,7.31913056048072e-06,8.802729080754477e-06,1.0310000847739819e-07,1.0,0.0
1.559493684309566e-07,6.145493685066275e-06,1.829333401628447e-06,7.31913056048072e-06,8.802729080754477e-06,6.443750529837387e-08,1.0,0.0
1.559493684309566e-07,6.145493685066275e-06,1.8960000707840027e-06,8.23402188054081e-06,9.389577686138108e-06,6.443750529837387e-08,1.0,0.0
1.559493684309566e-07,6.145493685066275e-06,1.829333401628447e-06,6.40423924042063e-06,8.215880475370845e-06,5.1550004238699095e-08,1.0,0.0
1.559493684309566e-07,6.145493685066275e-06,1.829333401628447e-06,7.31913056048072e-06,8.802729080754477e-06,1.0310000847739819e-07,1.0,0.0
1.559493684309566e-07,6.145493685066275e-06,1.829333401628447e-06,7.31913056048072e-06,8.802729080754477e-06,1.0310000847739819e-07,1.0,0.0
1.559493684309566e-07,6.145493685066275e-06,1.829333401628447e-06,7.31913056048072e-06,8.802729080754477e-06,1.0310000847739819e-07,1.0,0.0
1.559493684309566e-07,6.145493685066275e-06,1.8960000707840027e-06,8.23402188054081e-06,9.389577686138108e-06,1.5465001271609729e-07,1.0,0.0
1.559493684309566e-07,6.145493685066275e-06,1.829333401628447e-06,6.40423924042063e-06,8.215880475370845e-06,6.443750529837387e-08,1.0,0.0
1.559493684309566e-07,6.145493685066275e-06,1.8960000707840027e-06,8.23402188054081e-06,9.389577686138108e-06,6.443750529837387e-08,1.0,0.0
1.559493684309566e-07,6.145493685066275e-06,1.8960000707840027e-06,8.23402188054081e-06,9.389577686138108e-06,1.0310000847739819e-07,1.0,0.0
1.559493684309566e-07,6.145493685066275e-06,1.8960000707840027e-06,8.23402188054081e-06,9.389577686138108e-06,6.443750529837387e-08,1.0,0.0
1.559493684309566e-07,6.145493685066275e-06,1.8960000707840027e-06,8.23402188054081e-06,9.389577686138108e-06,1.4176251165642253e-07,1.0,0.0
1.559493684309566e-07,6.145493685066275e-06,1.829333401628447e-06,7.31913056048072e-06,8.802729080754477e-06,1.2887501059674774e-07,1.0,0.0
1.559493684309566e-07,7.023421354361457e-06,1.829333401628447e-06,7.31913056048072e-06,9.389577686138108e-06,9.021250741772342e-08,1.0,0.0
1.559493684309566e-07,6.145493685066275e-06,1.8960000707840027e-06,8.23402188054081e-06,9.389577686138108e-06,1.0310000847739819e-07,1.0,0.0
1.4329114047389846e-07,7.901349023656638e-06,1.829333401628447e-06,6.40423924042063e-06,9.389577686138108e-06,1.2887501059674774e-08,1.0,0.0
1.559493684309566e-07,6.145493685066275e-06,1.8960000707840027e-06,8.23402188054081e-06,9.389577686138108e-06,9.021250741772342e-08,1.0,0.0
1.559493684309566e-07,6.145493685066275e-06,1.8960000707840027e-06,8.23402188054081e-06,9.389577686138108e-06,7.732500635804864e-08,1.0,0.0
1.559493684309566e-07,6.145493685066275e-06,1.8960000707840027e-06,8.23402188054081e-06,9.389577686138108e-06,5.554512956719828e-06,1.0,0.0
1.559493684309566e-07,6.145493685066275e-06,1.8960000707840027e-06,8.23402188054081e-06,9.389577686138108e-06,7.732500635804864e-08,1.0,0.0
1.559493684309566e-07,6.145493685066275e-06,1.8960000707840027e-06,8.23402188054081e-06,9.389577686138108e-06,1.0310000847739819e-07,1.0,0.0
1.559493684309566e-07,6.145493685066275e-06,1.8960000707840027e-06,8.23402188054081e-06,9.389577686138108e-06,1.1598750953707296e-07,1.0,0.0
1.559493684309566e-07,6.145493685066275e-06,1.8960000707840027e-06,8.23402188054081e-06,9.389577686138108e-06,7.732500635804864e-08,1.0,0.0
1.559493684309566e-07,6.145493685066275e-06,1.8960000707840027e-06,8.23402188054081e-06,9.389577686138108e-06,1.1598750953707296e-07,1.0,0.0
1.559493684309566e-07,6.145493685066275e-06,1.829333401628447e-06,7.31913056048072e-06,8.802729080754477e-06,6.443750529837387e-08,1.0,0.0
1.559493684309566e-07,6.145493685066275e-06,1.8960000707840027e-06,8.23402188054081e-06,9.389577686138108e-06,1.0310000847739819e-07,1.0,0.0
1.559493684309566e-07,6.145493685066275e-06,1.8960000707840027e-06,8.23402188054081e-06,9.389577686138108e-06,9.021250741772342e-08,1.0,0.0
1.4329114047389846e-07,7.901349023656638e-06,1.8960000707840027e-06,8.23402188054081e-06,1.0563274896905373e-05,2.5775002119349548e-08,1.0,0.0
1.559493684309566e-07,6.145493685066275e-06,1.829333401628447e-06,7.31913056048072e-06,8.802729080754477e-06,7.732500635804864e-08,1.0,0.0
